citricacid,sugar,chlorides,density,sulphates,alcohol,quality
0.49,2.7,0.098,1.0004,0.61,10.3,5
0.24,2.1,0.072,0.9956,0.66,12.8,6
0.24,2.7,0.102,1,0.56,10,6
0.24,2.1,0.078,0.999,0.87,10.3,6
0.24,2.4,0.077,0.9974,0.57,9.4,5
0.24,2.1,0.084,0.9972,0.77,10.7,6
0.49,5.8,0.066,1.0014,0.66,12,7
0.74,5.15,0.1,0.9996,0.62,11.2,5
0.24,3.3,0.101,0.9988,0.67,9.6,5
0.49,6.3,0.064,0.9988,0.73,11,6
0.24,2.1,0.07,0.9966,0.59,9.9,5
0.24,2.5,0.085,0.9993,0.72,11,6
0.74,1.8,0.075,1.0008,0.79,8.4,6
0.49,2.6,0.094,0.9982,0.59,9.1,5
0.24,2,0.078,0.9983,0.78,9.5,6
0.49,2.5,0.067,0.9987,0.86,10.7,6
0.49,2.6,0.079,0.9994,0.75,10.4,6
0.49,1.9,0.171,0.9975,0.61,9.4,6
0.01,2.1,0.074,0.9958,0.56,9.5,6
0.24,2.8,0.092,0.998,0.73,10,6
0.24,2.7,0.092,0.998,0.74,10,6
0.24,1.6,0.05,0.9934,0.62,11.5,5
0.49,4.2,0.095,1.00315,0.74,11.1,5
0.49,4.2,0.095,1.00315,0.74,11.1,5
0.49,4.6,0.118,1.0002,0.56,11.7,6
0.49,4.2,0.095,1.00315,0.74,11.1,5
0.49,4.6,0.118,1.0002,0.56,11.7,6
0.49,4.3,0.085,1.0021,0.68,12.7,6
0.49,2.8,0.075,0.9994,0.57,11.4,5
0.49,2.4,0.078,0.9978,0.58,9.2,5
0.49,2.9,0.094,0.9982,0.61,9.2,5
0.49,2.7,0.092,0.9971,0.61,10.1,6
0.49,4.3,0.085,1.0021,0.68,12.7,6
0.49,2.8,0.075,0.9994,0.57,11.4,5
0.24,2.5,0.226,0.9991,0.6,9,6
0.24,2.5,0.226,0.9991,0.6,9,6
0.49,2.6,0.25,0.999,0.79,10.7,6
0.24,2.2,0.095,0.9946,0.57,11.7,6
0.49,3.3,0.07,1.0003,0.91,11,6
0.24,2.2,0.095,0.9946,0.57,11.7,6
0.49,2.4,0.075,0.9978,0.61,10.4,5
0.49,2.1,0.07,0.9991,0.56,9.6,4
0.49,3.2,0.078,0.9992,0.7,10,6
0.49,3.1,0.079,0.9993,0.8,10.2,6
0.24,2.3,0.103,0.9978,0.52,10,4
0.49,2.8,0.083,0.9982,0.6,9.5,5
0.49,2.9,0.085,0.9982,0.6,9.8,5
0.49,2.2,0.063,0.9976,0.51,9.8,6
0.49,2.2,0.089,1.0002,0.44,9.6,5
0.49,2.2,0.089,1.0002,0.44,9.6,5
0.49,2.2,0.083,1,0.43,9.2,5
0.49,1.9,0.074,0.9976,0.66,9.9,7
0.49,3.4,0.093,1.0002,0.76,10.7,7
0.24,2.4,0.091,0.998,0.66,9.6,6
0.49,2.7,0.094,0.9986,1.02,10.6,7
0.24,1.9,0.108,0.9967,0.59,9.3,5
0.24,2,0.06,0.9917,0.74,14,8
0.49,2.6,0.059,0.9976,0.74,10.5,7
0.49,2.6,0.084,0.9987,0.57,9.7,5
0.49,1.7,0.07,0.9922,0.5,11.5,6
0.49,2.6,0.084,0.9987,0.57,9.7,5
0.58,3.5,0.094,1.0004,0.58,9,5
0.17,2.6,0.096,0.9978,0.53,9.5,5
0.41,7.9,0.086,0.9998,0.57,9.3,5
0.51,2,0.059,0.9994,0.6,9.3,6
0.58,1.9,0.071,0.998,0.63,10,6
0.18,2.1,0.078,0.9967,0.48,9.8,6
0.45,2.3,0.082,1,0.7,9.3,6
0.27,2.1,0.088,0.9962,0.47,10,4
0.52,2.2,0.071,1.0006,0.56,9,6
0,2.6,0.081,0.9975,0.52,9.3,5
0.52,2.2,0.071,1.0006,0.56,9,6
0.13,2.9,0.096,0.9984,0.62,9.1,6
0.13,2.6,0.085,0.9984,0.59,9.2,6
0.48,4.6,0.072,0.9973,0.79,12.2,7
0.41,3.3,0.092,0.9982,0.53,10.5,6
0.37,5.1,0.11,1.0026,0.64,10.4,6
0.19,3.2,0.075,0.9956,0.52,12.7,6
0.54,2.5,0.083,0.9983,0.54,9.2,5
0.55,2.7,0.081,1.0006,0.54,9.4,5
0,2.4,0.077,0.9965,0.6,10,6
0.38,1.5,0.058,0.9962,0.74,9.8,5
0.18,2.2,0.148,0.9969,1.36,10.2,6
0.5,2.3,0.079,0.9997,0.57,9.7,5
0.5,2.3,0.079,0.9997,0.57,9.7,5
0.51,2.2,0.079,0.9982,0.93,9.8,6
0.5,2.7,0.122,1.0006,0.7,10.2,5
0.41,2.3,0.088,0.9988,0.8,9.3,5
0.24,3.4,0.076,0.9976,0.61,9.4,5
0.23,3.4,0.078,0.9976,0.62,9.4,5
0.22,1.9,0.08,0.9974,0.55,9.5,5
0.25,2.9,0.077,0.9974,0.96,12.1,6
0,5.6,0.124,0.9997,0.72,10.2,5
0,5.6,0.124,0.9997,0.72,10.2,5
0.29,2.2,0.098,0.9988,0.49,9.1,5
0.29,2.2,0.098,0.9988,0.49,9.1,5
0.26,2.5,0.097,0.9976,0.6,9.3,6
0.23,2.3,0.111,0.9964,0.61,9.3,5
0.26,2.5,0.097,0.9976,0.6,9.3,6
0.54,2.7,0.105,0.9988,0.63,9.5,5
0.14,3,0.087,0.9964,0.57,10.5,6
0.22,3.4,0.105,1.001,0.64,11.3,4
0.21,1.9,0.073,0.9964,0.58,9.5,5
0,1.4,0.065,0.9954,0.55,9.7,5
0.28,2.4,0.086,0.9979,0.53,9.4,5
0.27,2.3,0.084,0.9978,0.53,9.4,5
0.12,2.2,0.143,0.9964,0.65,10.2,7
0.35,1.9,0.067,0.997,1.36,10.3,6
0.45,2.3,0.071,0.9991,0.62,9.4,5
0.44,2.3,0.071,0.9992,0.63,9.5,5
0.45,2.3,0.071,0.9991,0.62,9.4,5
0.44,2.3,0.071,0.9992,0.63,9.5,5
0.45,2.3,0.071,0.9991,0.62,9.4,5
0.1,6,0.115,0.9984,0.69,10.1,7
0.05,3.6,0.107,0.9972,0.63,10.1,5
0.01,2.2,0.07,0.9967,0.58,11,4
0.3,2.8,0.066,0.9964,0.67,11.2,7
0.27,8.6,0.068,0.9948,0.57,11.3,6
0.39,2.2,0.106,0.9986,0.5,9.6,5
0.25,2.5,0.104,1.001,0.67,11.2,5
0.65,7.5,0.096,0.9976,0.84,14.9,5
0.59,2.8,0.079,0.9976,0.54,12,6
0.47,2.4,0.074,0.9979,0.46,9.5,5
0.17,2.9,0.087,1.0004,0.61,9.4,5
0.39,2.2,0.106,0.9986,0.5,9.6,5
0.59,1.4,0.073,0.998,0.68,10.5,7
0.07,1.4,0.074,0.9973,0.81,9.6,6
0.02,4.4,0.096,0.997,0.57,11,4
0.07,1.4,0.074,0.9973,0.81,9.6,6
0.31,1.6,0.08,0.9978,0.64,9,5
0.06,1.6,0.076,0.9972,0.7,9.6,6
0.46,1.8,0.05,0.9974,0.79,10.2,6
0.52,2,0.092,1,0.66,10.2,5
0.14,2,0.084,0.9981,0.56,9.7,5
0.36,1.8,0.222,0.998,0.6,9.5,6
0.45,2,0.082,0.9988,0.66,9.2,6
0.43,2.3,0.059,0.9966,0.57,11,5
0.45,2,0.082,0.9988,0.66,9.2,6
0.24,2.5,0.083,0.9959,0.58,10,5
0.21,1.7,0.074,0.9968,0.52,9.5,5
0.34,2,0.079,0.998,0.53,9.5,5
0.21,1.7,0.074,0.9968,0.52,9.5,5
0.41,2.2,0.084,0.9984,0.67,9.3,6
0.39,2.2,0.064,0.9984,0.65,10.2,5
0.41,2.2,0.084,0.9984,0.67,9.3,6
0.11,2.3,0.084,0.9979,0.48,9.9,5
0.1,2.6,0.081,0.9983,0.53,10,5
0.45,3.3,0.06,0.9972,0.54,9.6,5
0.58,1.9,0.07,1.0004,0.49,9,5
0.23,2.2,0.094,0.9962,0.49,10.2,6
0.31,2.25,0.078,0.998,0.54,9.8,5
0.23,2.6,0.059,0.997,0.56,11.3,5
0.32,2.3,0.078,0.998,0.48,9.4,5
0.23,2.6,0.059,0.997,0.56,11.3,5
0.18,1.8,0.07,0.997,0.6,9.1,5
0.23,3.1,0.095,0.9998,0.59,9.7,5
0.04,1.6,0.039,0.9962,0.47,9.4,5
0.48,1.8,0.157,0.9976,1.05,9.4,5
0,4.25,0.097,0.9966,0.54,10.7,3
0.24,2.6,0.087,0.9998,0.54,9.8,5
0.51,2,0.422,0.9979,1.17,9,5
0.32,2.8,0.084,0.9984,0.62,9.4,5
0.31,2.7,0.084,0.9984,0.61,9.4,5
0.02,1.3,0.034,0.9921,0.62,12.8,6
0.02,2.1,0.066,0.9972,0.67,9.5,6
0.02,2.1,0.066,0.9972,0.67,9.5,6
0.28,3.2,0.087,1.0001,0.53,9.7,5
0.55,2.1,0.071,0.9986,0.62,10.8,6
0.43,2.9,0.076,0.9984,0.57,10.1,6
0.02,2.1,0.066,0.9972,0.67,9.5,6
0.02,2.1,0.067,0.997,0.67,9.4,6
0.48,2.6,0.073,0.9972,0.7,9.6,4
0.04,1.6,0.078,0.998,0.54,9.7,4
0.15,6,0.073,0.999,0.49,9.9,5
0.08,2,0.093,0.9956,0.47,10,5
0.19,3,0.077,0.9966,0.51,10.5,5
0.12,2.5,0.068,0.996,0.61,11.6,6
0.47,1.6,0.062,0.9983,0.66,10,6
0.43,2.8,0.08,0.9985,0.57,10.1,5
0.34,3,0.093,0.9998,0.61,9.5,5
0,3.2,0.084,0.9992,0.45,9.4,5
0.36,2.3,0.075,0.9976,0.46,9.4,5
0.28,2.6,0.078,0.998,0.51,9.8,5
0.18,2.7,0.069,0.9967,0.48,9.2,6
0.36,2.3,0.075,0.9976,0.46,9.4,5
0.11,2.6,0.079,0.9968,0.57,10,5
0.04,2,0.082,0.9976,0.44,9.6,5
0,3.9,0.086,0.9976,0.54,9.5,5
0.04,2,0.082,0.9976,0.44,9.6,5
0.24,2.85,0.094,0.9982,0.53,9.2,5
0.08,2.7,0.084,0.9968,0.59,10,5
0.3,2.2,0.053,0.9965,1.62,9.5,5
0.1,3.1,0.086,0.9958,0.6,11.2,4
0.17,3,0.077,0.9976,0.55,10.4,5
0.09,2.8,0.084,0.9994,0.72,11.1,6
0.02,1.8,0.067,0.997,0.68,9.5,5
0.02,1.8,0.067,0.997,0.68,9.5,5
0.03,3.2,0.071,0.995,0.49,12.7,6
0.66,2.3,0.387,0.9982,0.67,9.6,5
0.13,3.45,0.088,0.9994,0.52,11.5,5
0.03,2.1,0.092,0.9966,0.47,9.6,5
0.34,2.7,0.082,0.998,0.6,9.5,5
0.2,2,0.075,0.9987,0.62,9.3,5
0.1,2.1,0.112,0.9963,0.5,9.5,5
0.1,2.1,0.112,0.9963,0.5,9.5,5
0,2.5,0.093,1.0002,0.65,9.3,6
0.23,2.8,0.092,0.9983,0.56,9.2,5
0,2.4,0.088,0.999,0.6,9.3,5
0.29,4.2,0.075,0.9965,0.68,11.5,6
0.24,2.6,0.078,0.99788,0.57,9.5,5
0,1.9,0.065,0.9972,0.65,9.2,5
0.58,2.8,0.096,1.00024,0.53,10,5
0.54,2.7,0.095,1.0001,0.51,9.5,5
0.18,2.1,0.07,0.99768,0.73,9.5,6
0.38,2.5,0.08,0.9978,0.47,9,6
0.4,2.6,0.083,0.99782,0.48,9.4,5
0.18,2.1,0.071,0.99761,0.72,9.6,6
0.18,2.1,0.07,0.99768,0.73,9.5,6
0.1,2.9,0.089,0.99803,0.55,9.5,5
0.1,2.9,0.089,0.99803,0.55,9.5,5
0.13,2.5,0.097,0.99785,0.61,9.4,5
0.1,2.9,0.089,0.99803,0.55,9.5,5
0.68,1.7,0.415,0.99656,1.06,9.1,6
0.07,1.9,0.058,0.99525,0.43,10.7,6
0.01,2,0.057,0.99488,0.46,11.2,6
0,2.2,0.084,0.99656,0.5,9.8,5
0,2.2,0.084,0.99656,0.5,9.8,5
0.21,2.5,0.092,0.99823,0.52,9.2,5
0.25,2.8,0.075,0.99779,0.57,9.7,5
0.26,2,0.096,0.99738,0.42,9.6,5
0,1.7,0.069,0.99701,0.53,10,6
0.26,2,0.096,0.99738,0.42,9.6,5
0.11,2.8,0.093,0.99888,0.55,9.5,6
0.1,3,0.091,0.99888,0.54,9.5,6
0.18,2.9,0.089,0.99738,0.54,9.4,5
0.32,2.7,0.103,0.99938,0.62,9.5,5
0.02,2.3,0.082,0.99744,0.53,9.7,6
0.01,1.9,0.076,0.99668,0.54,9.6,5
0.02,2.3,0.082,0.99744,0.53,9.7,6
0.26,2.4,0.082,0.9978,0.55,9.4,5
0.27,2.3,0.082,0.99782,0.55,9.4,5
0.29,1.8,0.157,0.9973,0.92,9.5,6
0.3,1.8,0.157,0.99727,0.91,9.5,6
0,3,0.102,0.99586,0.46,10,5
0.18,2.4,0.243,0.99612,0.6,10.3,6
0.17,2.4,0.241,0.9961,0.59,10.3,6
0.3,3.4,0.079,0.99788,0.61,10.5,5
0.03,2.6,0.076,0.99745,0.6,9.8,5
0,2,0.19,0.99676,0.6,9.4,6
0.14,2.4,0.114,0.99732,0.65,9.8,5
0.05,2.4,0.081,0.99814,0.53,10,5
0.14,2.4,0.114,0.99732,0.65,9.8,5
0.01,2.5,0.077,0.99746,0.59,9.8,5
0.41,2.3,0.083,0.9982,0.5,9.5,5
0.41,2.3,0.083,0.9982,0.5,9.5,5
0.24,2.2,0.079,0.9991,0.56,10.1,6
0.24,2.2,0.079,0.9991,0.56,10.1,6
0.17,2.9,0.099,0.998,0.52,9.3,5
0.43,2.6,0.082,0.99708,0.68,9.7,6
0.17,2.9,0.084,0.99818,0.54,9.6,5
0.02,2.5,0.081,0.99745,0.6,9.7,6
0,2.6,0.055,0.99639,0.56,10.8,5
0.54,2.3,0.065,0.99531,0.53,12.5,6
0.3,2.6,0.132,0.99786,1.18,10.2,5
0.31,2.5,0.126,0.99746,0.74,9.6,5
0.44,1.6,0.038,0.99526,0.81,10.8,7
0.34,3.6,0.082,0.9987,0.52,10.7,6
0.34,3.6,0.082,0.9987,0.52,10.7,6
0.08,4,0.082,0.99641,0.51,9.4,5
0.09,3.3,0.068,0.99735,0.44,10,5
0,1.7,0.044,0.99264,0.94,12.9,7
0.08,2.5,0.114,0.9971,0.66,9.6,6
0.22,2.7,0.084,0.99682,0.57,9.9,6
0.4,2.4,0.052,0.99356,0.7,12.8,7
0.39,2,0.041,0.99386,0.71,12.5,7
0.4,2.4,0.052,0.99356,0.7,12.8,7
0.12,1.9,0.165,0.99702,0.86,9.2,5
0.31,2.8,0.07,0.99693,0.55,10.3,6
0.1,2.6,0.068,0.99562,0.47,10.5,5
0.55,2.8,0.072,1.00012,0.68,10.9,6
0.33,2.5,0.099,0.99818,0.71,10.8,5
0.24,2.1,0.102,0.99462,0.58,11.4,4
0.54,2.8,0.103,0.99939,0.76,11.3,6
0.33,2.5,0.099,0.99818,0.71,10.8,5
0.19,3.2,0.081,0.9984,0.58,10.5,6
0.42,1.6,0.084,0.99545,0.73,11.9,6
0,2.35,0.071,0.99632,0.45,9.4,5
0.15,3.2,0.097,0.99976,0.54,9.6,5
0,1.9,0.099,0.99606,0.6,9.7,5
0,2.1,0.048,0.99154,0.74,14,7
0.13,2,0.076,0.9973,0.64,9.8,5
0.13,2,0.076,0.9973,0.64,9.8,5
0.28,2.8,0.068,0.99682,0.53,10.3,5
0.14,2.8,0.076,0.99624,0.49,10.7,5
0.34,2.3,0.05,0.9951,0.64,11,7
0.14,2.8,0.076,0.99624,0.49,10.7,5
0.09,2.3,0.065,0.99417,0.74,12.7,8
0.08,2.1,0.071,0.99376,0.77,11.1,6
0.07,2.5,0.058,0.99632,0.55,10.9,4
0.08,2.1,0.071,0.99376,0.77,11.1,6
0.42,1.5,0.145,0.99832,0.86,9.9,3
0.44,1.6,0.147,0.99836,0.86,9.9,4
0.26,1.6,0.088,0.99694,0.47,9.4,5
0.1,1.5,0.066,0.99655,0.51,9.3,5
0.28,2.4,0.012,0.99064,0.39,11.7,7
0.28,2.4,0.012,0.99064,0.39,11.7,7
0.35,1.6,0.075,0.99672,0.83,11.2,7
0.04,2.2,0.092,0.99647,0.47,10,5
0.47,2.65,0.085,0.99736,0.77,12.1,7
0,3,0.115,0.99629,0.63,10.3,5
0.45,2.6,0.119,0.99708,0.72,10.9,6
0.35,2,0.088,0.9963,0.62,9.4,5
0.46,1.7,0.062,0.9959,0.83,10.6,6
0.21,1.8,0.081,0.99689,0.66,9.8,5
0.21,1.8,0.081,0.99689,0.66,9.8,5
0.16,1.8,0.078,0.9977,0.7,9.9,6
0.21,1.8,0.081,0.99689,0.66,9.8,5
0.21,1.6,0.08,0.99689,0.66,9.8,5
0.44,1.9,0.085,0.99708,0.55,9.5,5
0.44,1.9,0.085,0.99708,0.55,9.5,5
0.32,2.5,0.08,0.99801,1.07,9.7,5
0.39,1.5,0.08,0.99652,0.73,10.9,6
0.39,1.5,0.08,0.99652,0.73,10.9,6
0.02,2.5,0.071,0.99538,0.71,11.7,7
0.39,1.5,0.08,0.99652,0.73,10.9,6
0.34,2.5,0.073,0.99594,0.78,11.3,7
0.47,1.7,0.054,0.99686,0.67,10.6,7
0.22,1.8,0.074,0.99438,0.82,11.2,6
0.06,2.7,0.077,0.99746,0.54,9.5,5
0.66,2,0.039,0.99357,0.6,11.5,6
0.32,2.7,0.067,0.99628,0.44,10.4,5
0.06,2.5,0.078,0.99746,0.53,9.7,5
0.06,2.7,0.077,0.99746,0.54,9.5,5
0.07,2.6,0.077,0.99748,0.54,9.7,5
0.22,2.3,0.071,0.99438,0.83,11.3,6
0.23,2,0.072,0.99438,0.84,11.2,6
0.22,1.8,0.074,0.99438,0.82,11.2,6
0.03,2,0.08,0.99578,0.64,10.9,6
0.01,2.1,0.064,0.99371,0.57,11.8,6
0.03,1.5,0.086,0.99522,0.57,10.6,5
0.24,2,0.067,0.99576,0.54,10,4
0.37,1.6,0.067,0.99552,0.58,11.1,7
0.46,2.1,0.104,0.99664,0.65,11.8,7
0.4,2.8,0.109,0.99614,0.79,11.8,7
0,2.2,0.067,0.99517,0.58,10.9,4
0.01,2.1,0.064,0.99371,0.57,11.8,6
0.19,4,0.094,0.99787,0.5,10,6
0.04,2.5,0.076,0.99745,0.55,9.5,5
0.18,1.6,0.078,0.99576,0.49,9.9,5
0,2.1,0.068,0.99533,0.65,11.4,6
0.29,3.1,0.194,0.99536,0.78,12,6
0.04,2.5,0.076,0.99745,0.55,9.5,5
0.19,4,0.094,0.99787,0.5,10,6
0.14,2.5,0.086,0.99824,0.64,10.5,5
0.12,2.4,0.083,0.99836,0.65,10.4,6
0.38,2.6,0.066,0.99577,0.79,12.1,7
0,2.5,0.072,0.99491,0.56,11.2,6
0.34,6.6,0.112,1.00289,0.68,9.3,5
0.24,2,0.071,0.99576,0.58,10.1,5
0.03,2.3,0.078,0.99743,0.57,9.7,5
0.23,1.9,0.082,0.99774,0.65,9.3,6
0.03,2.3,0.078,0.99743,0.57,9.7,5
0.03,2.2,0.08,0.99745,0.58,9.8,6
0.01,2.3,0.08,0.9955,0.58,10.7,6
0.39,2.4,0.078,0.99444,0.77,12.5,7
0.01,2.3,0.08,0.9955,0.58,10.7,6
0.39,2.4,0.078,0.99444,0.77,12.5,7
0.02,3.4,0.084,0.99892,0.49,11,3
0.36,2.6,0.056,0.99562,0.69,11.8,5
0.1,2.4,0.08,0.99736,0.69,10.8,7
0.1,2.4,0.08,0.99736,0.69,10.8,7
0.06,6,0.06,0.9962,0.59,10.8,7
0.06,6,0.06,0.9962,0.59,10.8,7
0.2,3,0.081,0.998,0.59,9.5,5
0.27,2.6,0.084,0.9964,0.71,11,5
0,2.2,0.079,0.9948,0.54,11.5,6
0.13,2.4,0.078,0.99528,0.59,10.8,6
0.39,1.2,0.059,0.99331,0.52,11.5,6
0.48,3.8,0.132,0.99577,0.57,13.2,6
0.46,9,0.114,0.99901,0.6,10.9,6
0.44,2.9,0.065,0.99674,0.62,12.2,6
0.46,4.6,0.094,0.99639,0.64,12.2,7
0.39,1.2,0.059,0.99331,0.52,11.5,6
0.4,2.2,0.079,0.99512,0.67,11.9,6
0.19,1.5,0.161,0.99395,0.61,11,5
0.31,8.8,0.084,0.99824,0.64,10.1,6
0.32,2.2,0.081,0.9964,0.72,11,6
0.12,1.8,0.072,0.99504,0.89,11.8,6
0.37,2.3,0.091,0.99786,0.56,10.5,5
0.32,2.2,0.081,0.9964,0.72,11,6
0.12,1.8,0.072,0.99504,0.89,11.8,6
0.31,8.8,0.084,0.99824,0.64,10.1,6
0.27,2.3,0.055,0.99516,0.8,11.2,5
0.36,1.9,0.064,0.99604,0.87,11,7
0.33,2.3,0.061,0.99786,0.9,10.2,6
0.19,2.2,0.093,0.99736,0.59,9.2,4
0.27,2.3,0.055,0.99516,0.8,11.2,5
0.38,3.3,0.063,0.99468,0.73,12,7
0.01,1.9,0.08,0.99746,0.73,10.5,5
0.01,2,0.074,0.99748,0.65,9.8,5
0.29,1.9,0.078,0.9971,0.59,9.5,6
0.01,2,0.074,0.99748,0.65,9.8,5
0.01,1.9,0.08,0.99746,0.73,10.5,5
0.38,2.3,0.06,0.99543,0.72,11.8,6
0.38,2.3,0.06,0.99543,0.72,11.8,6
0.5,1.4,0.071,0.99791,0.6,10.4,4
0.38,2.8,0.068,0.99356,0.72,12.9,7
0.17,1.6,0.073,0.99425,0.54,11.4,5
0.52,2.2,0.074,0.99509,0.76,12.4,7
0.49,5,0.082,0.99484,0.52,12.5,7
0.4,2.6,0.092,0.99834,0.64,10,7
0.34,2.3,0.094,0.99864,0.6,9.7,7
0.49,3.8,0.09,0.99498,0.64,12.1,7
0.42,2,0.071,0.99566,0.79,11.1,7
0.58,4.1,0.092,0.99745,0.99,12,7
0.48,2.1,0.093,0.99408,0.62,12.4,7
0.45,1.8,0.075,0.99552,0.76,11.9,7
0.45,1.8,0.075,0.99552,0.76,11.9,7
0.45,1.8,0.075,0.99552,0.76,11.9,7
0.48,2.1,0.093,0.99408,0.62,12.4,7
0.4,2.2,0.058,0.99536,0.68,11.2,7
0.48,2.1,0.052,0.99458,0.69,12.1,7
0.4,2.7,0.082,0.99538,0.54,12.2,6
0.52,1.9,0.09,0.99648,0.67,10.4,5
0.52,2.1,0.111,0.99568,0.62,11.3,6
0.52,2,0.088,0.99613,0.58,11.1,6
0.12,2.3,0.12,0.99519,0.71,11.3,7
0.05,2,0.089,0.99735,0.61,10,5
0.27,1.9,0.058,0.99518,0.85,11.1,6
0.14,1.6,0.078,0.99592,0.62,9.3,5
0.02,2.1,0.115,0.99654,0.69,9.5,5
0.39,2,0.1,0.99546,0.69,11.2,6
0.27,1.9,0.058,0.99518,0.85,11.1,6
0.4,2.4,0.065,0.99554,0.86,11,6
0.41,2.4,0.103,0.99604,0.58,11.9,7
0.2,2.1,0.097,0.99733,0.48,9.2,5
0.43,2.4,0.068,0.9943,0.6,12.2,6
0.09,2.9,0.079,0.99669,0.61,10.2,5
0.48,1.9,0.066,0.99724,0.87,10.9,6
0.48,1.9,0.066,0.99724,0.87,10.9,6
0.5,2.4,0.104,0.99643,0.65,11.6,7
0.44,1.7,0.079,0.99605,0.63,10.7,5
0.41,5.9,0.073,0.99658,0.62,12.1,7
0.3,2.1,0.083,0.997,0.52,9.4,5
0.3,2.1,0.083,0.997,0.52,9.4,5
0.29,2.6,0.109,0.99801,0.5,9.1,5
0.32,3.6,0.061,0.99416,0.49,11.3,7
0.49,1.4,0.075,0.9969,0.63,10.4,5
0.3,1.9,0.065,0.99774,0.71,10.5,6
0.26,1.9,0.079,0.99712,0.62,10,5
0.32,2.1,0.07,0.99418,0.82,12.9,6
0.3,1.9,0.065,0.99774,0.71,10.5,6
0.49,1.4,0.075,0.9969,0.63,10.4,5
0,2,0.064,0.99562,0.58,11.3,6
0.39,1.4,0.066,0.9947,0.55,11.4,7
0.3,1.6,0.08,0.99693,0.5,9.4,5
0.12,1.7,0.097,0.99596,0.49,9.4,5
0.4,1.5,0.073,0.99556,0.51,10.9,6
0.12,1.7,0.097,0.99596,0.49,9.4,5
0.28,2,0.082,0.99694,0.48,9.4,5
0.1,2,0.076,0.99554,0.48,9.4,6
0.28,2,0.082,0.99694,0.48,9.4,5
0.45,2.5,0.092,0.99918,0.43,9.4,5
0.06,2,0.079,0.99697,0.62,10.1,6
0,2.2,0.087,0.99378,0.63,12.8,7
0,2.2,0.087,0.99378,0.63,12.8,7
0.34,1.4,0.05,0.99554,0.48,9.1,6
0,1.65,0.055,0.99162,0.53,12.9,6
0.3,2.2,0.062,0.99495,0.72,11.5,7
0.38,1.5,0.058,0.99676,0.82,10.6,7
0.33,2.05,0.063,0.99516,0.84,11.7,7
0.32,1.8,0.067,0.9928,0.55,12.8,7
0.29,1.6,0.081,0.99603,0.54,10.3,5
0.32,1.8,0.067,0.9928,0.55,12.8,7
0.33,2.05,0.063,0.99516,0.84,11.7,7
0.34,2,0.064,0.99516,0.84,11.7,7
0.4,3.6,0.11,0.99549,0.7,12,7
0.36,2.8,0.116,0.99722,0.68,10.9,5
0.45,1.7,0.067,0.99354,0.55,12.3,7
0.31,2,0.088,0.9957,0.55,10.4,6
0.15,2.1,0.102,0.99604,0.48,10,5
0,1.6,0.092,0.99635,0.58,10,6
0.16,2,0.12,0.99454,0.58,11.2,6
0.46,2.2,0.075,0.99598,0.84,11.4,6
0.4,2.2,0.068,0.99486,0.75,12.6,7
0.37,0.9,0.049,0.99007,0.44,12.7,6
0.37,0.9,0.049,0.99007,0.44,12.7,6
0.14,1.8,0.078,0.99636,0.61,10.4,5
0.66,2.4,0.123,0.99642,0.53,11.9,6
0.66,2.4,0.123,0.99642,0.53,11.9,6
0.09,2.1,0.062,0.99584,0.54,10.5,5
0.42,2.3,0.098,0.99506,0.55,12.3,6
0.01,1.8,0.088,0.99568,0.56,10.5,7
0,2.8,0.095,0.99822,0.6,10.4,6
0.32,1.9,0.066,0.99364,0.56,12.6,6
0,2.2,0.065,0.99378,0.52,11.6,5
0.21,2.5,0.075,0.99586,0.54,10.1,6
0.01,1.8,0.088,0.99568,0.56,10.5,7
0,2.1,0.091,0.99488,0.55,11.5,7
0.01,1.8,0.093,0.99514,0.58,11,7
0,4.1,0.095,0.99854,0.53,9.6,5
0.08,2.6,0.089,0.99592,0.59,10.4,6
0.18,2.5,0.077,0.99739,0.47,9.7,6
0.34,2.4,0.085,0.99683,0.65,10.6,7
0.34,2.5,0.082,0.99356,0.59,12.5,7
0.1,1.8,0.074,0.99672,0.56,9.2,5
0.41,6.2,0.078,0.9953,0.77,12.6,7
0.21,2.2,0.088,0.99692,0.83,11.1,6
0,2.2,0.088,0.99756,0.67,10.2,5
0.19,1.7,0.079,0.99547,0.64,9.8,6
0.21,2.2,0.088,0.99692,0.83,11.1,6
0.41,8.9,0.069,0.99859,0.81,10.9,7
0.33,3.3,0.046,0.99294,0.62,12.2,6
0,1.4,0.07,0.99438,0.58,11.4,6
0,1.7,0.076,0.99612,0.62,10.7,6
0.17,1.8,0.082,0.99634,0.64,10.4,5
0.36,1.7,0.081,0.99702,0.78,10.9,6
0.36,1.8,0.084,0.99704,0.77,10.8,6
0.17,1.8,0.082,0.99634,0.64,10.4,5
0.59,1.4,0.414,0.99702,1.34,9.2,5
0.05,2.4,0.073,0.99258,0.55,12.9,5
0.42,2.3,0.07,0.99426,0.77,12.7,7
0.27,2,0.095,0.99747,0.62,9.1,6
0.27,2,0.095,0.99747,0.62,9.1,6
0.53,4,0.101,0.99586,0.59,12.1,7
0.25,3.9,0.104,0.99784,0.57,9.1,5
0.57,2.4,0.093,0.9971,0.76,11.6,7
0.53,4,0.101,0.99586,0.59,12.1,7
0.57,1.8,0.074,0.9981,0.7,9.9,6
0.5,1.8,0.071,0.99462,0.69,12.5,8
